--- base_link Visuals sorted by Max Z ---
Mesh: _3D_ELVM6040V48EH_M17_HD_17.stl     | Visual: 43  | Z bounds: [-0.0960, -0.0841] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_32.stl     | Visual: 58  | Z bounds: [-0.0944, -0.0836] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_32.stl     | Visual: 85  | Z bounds: [-0.0944, -0.0836] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_26.stl     | Visual: 52  | Z bounds: [-0.0966, -0.0834] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_1.stl      | Visual: 127 | Z bounds: [-0.0927, -0.0833] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_21.stl     | Visual: 47  | Z bounds: [-0.0950, -0.0831] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_21.stl     | Visual: 95  | Z bounds: [-0.0950, -0.0831] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_16.stl     | Visual: 42  | Z bounds: [-0.0970, -0.0830] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_28.stl     | Visual: 120 | Z bounds: [-0.0934, -0.0826] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_41.stl     | Visual: 67  | Z bounds: [-0.0956, -0.0824] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_41.stl     | Visual: 102 | Z bounds: [-0.0956, -0.0824] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_15.stl     | Visual: 124 | Z bounds: [-0.1078, -0.0822] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_17.stl     | Visual: 100 | Z bounds: [-0.0940, -0.0821] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_35.stl     | Visual: 61  | Z bounds: [-0.0960, -0.0820] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_35.stl     | Visual: 99  | Z bounds: [-0.0960, -0.0820] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_26.stl     | Visual: 82  | Z bounds: [-0.0946, -0.0814] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_16.stl     | Visual: 118 | Z bounds: [-0.0950, -0.0810] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_44.stl     | Visual: 70  | Z bounds: [-0.0994, -0.0806] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_33.stl     | Visual: 59  | Z bounds: [-0.0930, -0.0806] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_5.stl      | Visual: 31  | Z bounds: [-0.0995, -0.0805] | XYZ: [0.137884, 0.0846082, 0.0492947]
